section_id,measurement_date,temperature,deflection,surface_condition,traffic_volume,pci,road_category,latitude,longitude
1001,2023-05-15,85.3,0.35,Good,12500,87,Arterial,37.7749,-122.4194
1002,2023-05-15,84.1,0.42,Fair,8900,65,Collector,37.7750,-122.4180
1003,2023-05-16,86.7,0.29,Good,15300,92,Arterial,37.7751,-122.4170
1004,2023-05-16,83.5,0.58,Poor,7200,43,Local,37.7752,-122.4160
1005,2023-05-17,85.2,0.75,Very Poor,3400,28,Local,37.7753,-122.4150
1006,2023-05-17,84.8,0.31,Good,11200,95,Arterial,37.7754,-122.4140
1007,2023-05-18,86.0,0.44,Fair,6800,68,Collector,37.7755,-122.4130
1008,2023-05-18,83.9,0.62,Poor,4100,35,Local,37.7756,-122.4120
1009,2023-05-19,85.6,0.28,Good,14500,94,Arterial,37.7757,-122.4110
1010,2023-05-19,84.3,0.33,Good,12800,88,Arterial,37.7758,-122.4100
1011,2023-05-20,85.1,0.48,Fair,7900,61,Collector,37.7759,-122.4090
1012,2023-05-20,83.7,0.72,Very Poor,2800,22,Local,37.7760,-122.4080
1013,2023-05-21,86.4,0.30,Good,13700,91,Arterial,37.7761,-122.4070
1014,2023-05-21,85.0,0.55,Poor,5600,48,Local,37.7762,-122.4060
1015,2023-05-22,84.5,0.38,Fair,9300,72,Collector,37.7763,-122.4050
